Date,High,Low,Open,Close,Volume,Adj Close
2019-01-04,484,466,483,477,18000,477
2019-01-07,487,462,482,462,27800,462
2019-01-08,481,466,466,475,12200,475
2019-01-09,479,472,475,473,7600,473
2019-01-10,474,464,474,472,11400,472
2019-01-11,490,474,474,488,13300,488
2019-01-15,498,489,496,493,11200,493
2019-01-16,497,486,493,494,9800,494
2019-01-17,493,476,490,489,11200,489
2019-01-18,494,476,494,478,14300,478
2019-01-21,489,480,489,483,8600,483
2019-01-22,483,478,483,479,5900,479
2019-01-23,477,469,476,471,6900,471
2019-01-24,474,467,471,467,6800,467
2019-01-25,474,463,466,467,12000,467
2019-01-28,475,466,475,468,7100,468
2019-01-29,469,462,468,467,7300,467
2019-01-30,470,462,470,462,10900,462
2019-01-31,466,452,462,453,15900,453
2019-02-01,457,438,454,446,27300,446
2019-02-04,455,450,452,450,8100,450
2019-02-05,478,453,453,466,23300,466
2019-02-06,471,462,469,465,6000,465
2019-02-07,466,457,466,458,5900,458
2019-02-08,464,452,464,452,9300,452
2019-02-12,473,454,473,456,8400,456
2019-02-13,468,449,468,452,13600,452
2019-02-14,456,449,450,452,14800,452
2019-02-15,468,453,468,458,10000,458
2019-02-18,468,457,460,468,6700,468
2019-02-19,476,466,468,476,4900,476
2019-02-20,498,477,478,498,12200,498
2019-02-21,499,491,494,499,7500,499
2019-02-22,506,495,498,504,12200,504
2019-02-25,515,505,509,513,11300,513
2019-02-26,519,510,510,513,10100,513
2019-02-27,518,512,518,517,8100,517
2019-02-28,534,520,520,523,21700,523
2019-03-01,542,526,529,540,21800,540
2019-03-04,542,529,539,529,23000,529
2019-03-05,535,523,535,530,9900,530
2019-03-06,533,529,530,533,5200,533
2019-03-07,533,514,531,519,17600,519
2019-03-08,516,499,507,507,39800,507
2019-03-11,511,503,510,506,9400,506
2019-03-12,509,503,506,505,6900,505
2019-03-13,509,504,509,507,4300,507
2019-03-14,517,506,510,507,18300,507
2019-03-15,530,520,521,526,41000,526
2019-03-18,554,526,530,535,40600,535
2019-03-19,548,536,541,546,10800,546
2019-03-20,546,542,546,545,12800,545
2019-03-22,548,543,546,545,46500,545
2019-03-25,548,540,543,547,12900,547
2019-03-26,562,550,550,558,23300,558
2019-03-27,531,515,520,530,47100,530
2019-03-28,526,506,525,520,17500,520
2019-03-29,520,505,519,506,11500,506
2019-04-01,506,489,506,497,18600,497
2019-04-02,505,490,496,501,12400,501
2019-04-03,506,496,496,499,5100,499
2019-04-04,504,495,500,502,5400,502
2019-04-05,506,487,506,489,18200,489
2019-04-08,497,488,490,490,4600,490
2019-04-09,488,475,488,480,12700,480
2019-04-10,493,480,481,489,4700,489
2019-04-11,495,488,488,495,6500,495
2019-04-12,497,493,496,497,4500,497
2019-04-15,500,494,499,494,7200,494
2019-04-16,495,491,491,492,2800,492
2019-04-17,495,481,494,482,8900,482
2019-04-18,483,470,483,471,10000,471
2019-04-19,474,471,471,472,8000,472
2019-04-22,472,463,472,465,8600,465
2019-04-23,474,468,469,470,5300,470
2019-04-24,475,467,469,467,10900,467
2019-04-25,466,452,466,452,16400,452
2019-04-26,462,453,453,460,4900,460
2019-05-07,460,434,444,457,57300,457
2019-05-08,480,453,460,459,29800,459
2019-05-09,464,451,461,451,11200,451
2019-05-10,468,450,453,452,12600,452
2019-05-13,472,454,460,454,15800,454
2019-05-14,459,435,453,451,27500,451
2019-05-15,458,446,458,452,12900,452
2019-05-16,457,436,450,437,12600,437
2019-05-17,447,435,445,440,15800,440
2019-05-20,461,438,441,448,16600,448
2019-05-21,463,452,455,452,10200,452
2019-05-22,450,439,450,439,9900,439
2019-05-23,450,435,439,435,10400,435
2019-05-24,440,430,440,432,12700,432
2019-05-27,434,430,432,430,7500,430
2019-05-28,436,431,433,432,10100,432
2019-05-29,434,431,432,431,4000,431
2019-05-30,434,429,434,429,8400,429
2019-05-31,431,427,429,431,8800,431
2019-06-03,433,429,430,429,5500,429
2019-06-04,434,424,433,429,8000,429
2019-06-05,439,429,429,434,10900,434
2019-06-06,438,428,433,437,4200,437
2019-06-07,464,439,440,464,17300,464
2019-06-10,464,456,456,464,8000,464
2019-06-11,472,457,460,472,12000,472
2019-06-12,476,473,475,473,5300,473
2019-06-13,473,462,473,469,5700,469
2019-06-14,473,467,467,469,6000,469
2019-06-17,471,457,471,460,17000,460
2019-06-18,470,457,460,460,4400,460
2019-06-19,464,452,460,455,14500,455
2019-06-20,468,459,460,465,14900,465
2019-06-21,468,463,468,463,3400,463
2019-06-24,465,463,465,465,2900,465
2019-06-25,466,462,462,465,4900,465
2019-06-26,467,460,467,461,7100,461
2019-06-27,464,459,463,459,8700,459
2019-06-28,460,454,459,455,7600,455
2019-07-01,463,456,460,456,9500,456
2019-07-02,458,455,457,456,10800,456
2019-07-03,458,454,456,456,6000,456
2019-07-04,462,455,456,462,8700,462
2019-07-05,468,462,463,468,6900,468
2019-07-08,490,476,480,490,19600,490
2019-07-09,495,487,495,490,17500,490
2019-07-10,492,487,490,488,9300,488
2019-07-11,490,486,488,490,3200,490
2019-07-12,494,488,490,494,6100,494
2019-07-16,497,494,494,497,8400,497
2019-07-17,504,496,496,502,14100,502
2019-07-18,507,498,502,504,9800,504
2019-07-19,518,504,504,513,11400,513
2019-07-22,520,516,520,516,9900,516
2019-07-23,519,514,516,519,6700,519
2019-07-24,531,520,521,531,8500,531
2019-07-25,545,533,534,543,10000,543
2019-07-26,556,523,543,535,24900,535
2019-07-29,535,520,535,531,16300,531
2019-07-30,530,523,525,530,7200,530
2019-07-31,525,519,522,523,5800,523
2019-08-01,531,518,524,531,9200,531
2019-08-02,534,526,531,530,12800,530
2019-08-05,535,520,526,535,13300,535
2019-08-06,524,518,518,521,4900,521
2019-08-07,530,521,521,524,2100,524
2019-08-08,529,521,524,525,4600,525
2019-08-09,528,522,525,528,8900,528
2019-08-13,543,533,543,543,11200,543
2019-08-14,567,551,556,560,24300,560
2019-08-15,570,544,569,551,14700,551
2019-08-16,561,547,561,547,4900,547
2019-08-19,554,548,550,551,3800,551
2019-08-20,557,552,555,556,4500,556
2019-08-21,557,553,557,553,2000,553
2019-08-22,557,553,554,557,4700,557
2019-08-23,552,516,552,536,12500,536
2019-08-26,535,515,516,515,8700,515
2019-08-27,530,510,525,510,3400,510
2019-08-28,517,502,517,502,4000,502
2019-08-29,513,501,506,503,3100,503
2019-08-30,510,503,503,510,2800,510
2019-09-02,527,512,512,519,4700,519
2019-09-03,519,512,518,517,2100,517
2019-09-04,518,514,517,514,3700,514
2019-09-05,524,517,517,521,2500,521
2019-09-06,529,521,521,525,2700,525
2019-09-09,524,521,524,522,1900,522
2019-09-10,522,515,520,519,5700,519
2019-09-11,518,511,518,514,3900,514
2019-09-12,524,511,518,523,6800,523
2019-09-13,528,518,525,527,8500,527
2019-09-17,539,533,536,535,4900,535
2019-09-18,535,527,535,530,3500,530
2019-09-19,536,531,534,535,3800,535
2019-09-20,539,533,535,539,4700,539
2019-09-24,543,539,539,543,5100,543
2019-09-25,544,531,540,544,3900,544
2019-09-26,550,544,547,550,15000,550
2019-09-27,550,547,550,547,2700,547
2019-09-30,549,545,548,549,2700,549
2019-10-01,558,547,558,547,2500,547
2019-10-02,550,545,547,545,2800,545
2019-10-03,548,542,542,545,2200,545
2019-10-04,549,545,546,549,1800,549
2019-10-07,556,551,552,552,7700,552
2019-10-08,552,537,551,548,4800,548
2019-10-09,548,547,548,548,1400,548
2019-10-10,548,542,548,545,1600,545
2019-10-11,549,538,549,540,5600,540
2019-10-15,548,543,548,545,3600,545
2019-10-16,549,545,547,548,4800,548
2019-10-17,547,543,547,543,3700,543
2019-10-18,547,540,547,542,12100,542
2019-10-21,549,541,542,549,3800,549
2019-10-23,549,545,549,548,2000,548
2019-10-24,548,546,546,546,1800,546
2019-10-25,549,546,549,547,2400,547
2019-10-28,552,547,547,550,6200,550
2019-10-29,560,556,557,560,5600,560
2019-10-30,574,560,561,574,11100,574
2019-10-31,575,567,575,567,4600,567
2019-11-01,562,550,562,550,8300,550
2019-11-05,560,551,554,560,4000,560
2019-11-06,569,563,565,568,3800,568
2019-11-07,577,558,568,558,11200,558
2019-11-08,555,551,552,551,10400,551
2019-11-11,565,551,551,559,3800,559
2019-11-12,569,559,559,569,8600,569
2019-11-13,569,562,569,562,2600,562
2019-11-14,560,548,560,552,12200,552
2019-11-15,553,528,552,529,16200,529
2019-11-18,532,496,529,509,33900,509
2019-11-19,517,498,500,515,15100,515
2019-11-20,518,512,515,518,4000,518
2019-11-21,519,517,519,518,2300,518
2019-11-22,520,516,519,517,3600,517
2019-11-25,520,518,519,520,5200,520
2019-11-26,523,508,522,513,15400,513
2019-11-27,520,514,514,517,2000,517
2019-11-28,520,515,516,517,3600,517
2019-11-29,519,516,518,516,2000,516
2019-12-02,520,515,519,517,5800,517
2019-12-03,520,513,520,513,4400,513
2019-12-04,518,513,513,516,8900,516
2019-12-05,519,511,518,511,7000,511
2019-12-06,519,513,515,515,7100,515
2019-12-09,519,516,518,519,2400,519
2019-12-10,533,518,519,533,13500,533
2019-12-11,569,533,534,568,30900,568
2019-12-12,575,557,566,573,17300,573
2019-12-13,575,568,571,574,15500,574
2019-12-16,574,567,574,570,14100,570
2019-12-17,570,562,570,568,7000,568
2019-12-18,564,550,561,550,9300,550
2019-12-19,558,545,550,547,6600,547
2019-12-20,547,541,544,547,5600,547
2019-12-23,556,538,547,540,14700,540
2019-12-24,541,534,540,535,7900,535
2019-12-25,535,527,532,528,13700,528
2019-12-26,556,528,534,556,20700,556
2019-12-27,597,549,549,590,33000,590
2019-12-30,600,591,594,591,29400,591
2020-01-06,609,587,587,601,12100,601
2020-01-07,612,600,600,612,11800,612
2020-01-08,630,610,610,615,22000,615
2020-01-09,637,615,615,620,21800,620
2020-01-10,620,612,620,615,4600,615
2020-01-14,675,628,628,675,41800,675
2020-01-15,670,666,670,670,11200,670
2020-01-16,666,655,666,659,11200,659
2020-01-17,658,651,655,651,5900,651
2020-01-20,658,650,655,650,7800,650
2020-01-21,650,635,650,635,8500,635
2020-01-22,645,638,640,640,4800,640
2020-01-23,645,637,637,640,2700,640
2020-01-24,641,635,640,635,7000,635
2020-01-27,631,623,630,625,8700,625
2020-01-28,627,620,624,620,8900,620
2020-01-29,640,620,640,620,4800,620
2020-01-30,622,614,621,614,6800,614
