Date,High,Low,Open,Close,Volume,Adj Close
2019-01-04,186,173,173,185,5600,185
2019-01-07,191,186,186,189,10700,189
2019-01-08,195,189,189,194,8800,194
2019-01-09,196,193,194,196,8400,196
2019-01-10,195,188,195,188,16500,188
2019-01-11,194,188,188,191,3500,191
2019-01-15,199,191,191,199,13800,199
2019-01-16,206,192,204,195,30000,195
2019-01-17,199,195,195,197,1200,197
2019-01-18,200,194,197,194,7800,194
2019-01-21,236,199,204,222,806000,222
2019-01-22,240,216,228,227,302800,227
2019-01-23,231,216,230,222,76300,222
2019-01-24,230,220,225,230,39400,230
2019-01-25,226,219,225,221,60100,221
2019-01-28,225,214,221,217,27900,217
2019-01-29,223,216,216,218,21600,218
2019-01-30,245,219,231,230,107500,230
2019-01-31,228,222,228,223,6200,223
2019-02-01,230,221,225,229,7500,229
2019-02-04,232,229,230,232,6300,232
2019-02-05,235,222,235,229,5500,229
2019-02-06,235,229,231,229,3200,229
2019-02-07,230,223,223,226,9500,226
2019-02-08,228,223,223,225,13300,225
2019-02-12,233,223,225,233,14500,233
2019-02-13,261,225,240,226,128400,226
2019-02-14,227,222,223,225,11500,225
2019-02-15,225,218,225,224,20100,224
2019-02-18,229,220,229,227,9300,227
2019-02-19,228,222,228,225,17300,225
2019-02-20,228,223,227,226,9100,226
2019-02-21,228,225,227,227,3000,227
2019-02-22,227,224,227,226,6600,226
2019-02-25,229,221,227,226,5000,226
2019-02-26,226,224,226,226,1900,226
2019-02-27,230,227,227,230,4900,230
2019-02-28,237,225,229,237,17500,237
2019-03-01,248,234,238,234,22700,234
2019-03-04,247,237,237,243,14900,243
2019-03-05,241,237,241,240,6500,240
2019-03-06,242,234,242,237,6900,237
2019-03-07,237,231,237,234,8400,234
2019-03-08,234,230,230,232,3100,232
2019-03-11,235,225,235,227,14000,227
2019-03-12,233,224,233,230,8600,230
2019-03-13,228,225,226,226,3200,226
2019-03-14,231,225,226,227,8200,227
2019-03-15,228,222,228,225,15300,225
2019-03-18,231,221,231,225,10900,225
2019-03-19,232,226,226,228,2800,228
2019-03-20,232,226,227,229,10800,229
2019-03-22,235,227,235,227,6300,227
2019-03-25,226,224,224,224,3200,224
2019-03-26,229,223,223,228,6700,228
2019-03-27,228,225,227,227,4100,227
2019-03-28,233,225,230,225,36300,225
2019-03-29,233,224,230,225,41900,225
2019-04-01,233,227,227,227,8500,227
2019-04-02,230,224,229,225,5900,225
2019-04-03,226,221,222,224,9500,224
2019-04-04,224,222,223,224,2700,224
2019-04-05,244,223,226,230,119000,230
2019-04-08,228,220,227,224,38800,224
2019-04-09,224,221,224,222,12000,222
2019-04-10,223,222,222,222,3600,222
2019-04-11,223,221,222,222,4600,222
2019-04-12,223,220,222,220,5000,220
2019-04-15,225,221,221,224,4100,224
2019-04-16,266,229,229,238,4589700,238
2019-04-17,249,235,243,243,290800,243
2019-04-18,243,234,243,237,71800,237
2019-04-19,250,233,233,246,117900,246
2019-04-22,246,234,246,235,22500,235
2019-04-23,240,227,240,233,55600,233
2019-04-24,236,229,232,235,21700,235
2019-04-25,242,234,237,236,23100,236
2019-04-26,239,230,237,230,14000,230
2019-05-07,230,219,230,219,29700,219
2019-05-08,222,217,220,219,23500,219
2019-05-09,219,213,218,213,16300,213
2019-05-10,216,212,215,213,7700,213
2019-05-13,215,210,210,213,13800,213
2019-05-14,218,209,211,218,19800,218
2019-05-15,221,215,221,220,3300,220
2019-05-16,221,219,220,219,4900,219
2019-05-17,222,219,221,222,7500,222
2019-05-20,228,221,222,226,10800,226
2019-05-21,226,219,226,224,10700,224
2019-05-22,225,221,225,221,5700,221
2019-05-23,233,218,222,221,19700,221
2019-05-24,232,218,218,232,7600,232
2019-05-27,229,224,227,224,4200,224
2019-05-28,227,224,225,224,1600,224
2019-05-29,225,220,223,224,2500,224
2019-05-30,224,219,223,220,8200,220
2019-05-31,223,220,220,221,1600,221
2019-06-03,225,219,221,222,3600,222
2019-06-04,224,220,220,224,3000,224
2019-06-05,228,220,226,220,8700,220
2019-06-06,222,219,221,219,15700,219
2019-06-07,221,217,218,218,11300,218
2019-06-10,222,218,218,222,5700,222
2019-06-11,222,219,221,219,12300,219
2019-06-12,222,219,219,222,6400,222
2019-06-13,222,221,222,222,1700,222
2019-06-14,223,219,219,222,7600,222
2019-06-17,225,220,225,221,6000,221
2019-06-18,221,219,220,219,8000,219
2019-06-19,226,220,220,222,12500,222
2019-06-20,225,222,222,224,3400,224
2019-06-21,223,221,223,221,600,221
2019-06-24,225,220,225,222,9400,222
2019-06-25,222,220,222,222,16900,222
2019-06-26,222,214,214,219,13500,219
2019-06-27,222,220,221,221,3600,221
2019-06-28,221,216,221,216,6800,216
2019-07-01,220,218,220,220,2400,220
2019-07-02,220,219,220,220,2700,220
2019-07-03,221,218,220,221,3200,221
2019-07-04,222,220,220,222,5300,222
2019-07-05,224,221,222,222,2700,222
2019-07-08,221,219,221,219,6000,219
2019-07-09,225,219,220,221,9000,221
2019-07-10,221,220,221,221,1100,221
2019-07-11,222,220,222,221,1100,221
2019-07-12,225,220,220,225,2600,225
2019-07-16,225,221,225,223,5100,223
2019-07-17,223,219,223,221,6000,221
2019-07-18,220,218,220,218,5000,218
2019-07-19,220,215,218,219,5100,219
2019-07-22,220,219,219,220,1600,220
2019-07-23,222,220,220,222,4200,222
2019-07-24,223,221,221,223,500,223
2019-07-25,223,220,223,220,1000,220
2019-07-26,221,219,219,220,1700,220
2019-07-29,221,218,220,220,4300,220
2019-07-30,222,219,222,219,1300,219
2019-07-31,221,218,218,220,3500,220
2019-08-01,219,219,219,219,100,219
2019-08-02,218,217,217,218,300,218
2019-08-05,220,217,220,217,1700,217
2019-08-06,216,212,213,216,5700,216
2019-08-07,218,216,218,216,3100,216
2019-08-08,216,214,216,214,4800,214
2019-08-09,216,212,213,215,7900,215
2019-08-13,216,212,212,215,800,215
2019-08-14,215,215,215,215,1400,215
2019-08-15,216,214,214,216,1400,216
2019-08-16,219,213,219,213,7300,213
2019-08-19,218,214,214,217,1700,217
2019-08-20,215,213,213,214,1900,214
2019-08-21,214,214,214,214,200,214
2019-08-22,214,214,214,214,500,214
2019-08-23,216,213,213,214,2200,214
2019-08-26,218,212,214,215,2600,215
2019-08-27,218,215,216,217,4700,217
2019-08-28,219,216,217,216,3800,216
2019-08-29,213,210,212,211,9800,211
2019-08-30,214,212,214,213,5500,213
2019-09-02,212,212,212,212,500,212
2019-09-03,214,206,214,210,7800,210
2019-09-04,213,211,213,213,2300,213
2019-09-05,214,212,213,212,3600,212
2019-09-06,213,212,213,212,1400,212
2019-09-09,212,212,212,212,1100,212
2019-09-10,215,213,213,213,4300,213
2019-09-11,214,212,214,213,3800,213
2019-09-12,214,212,213,212,1500,212
2019-09-13,214,212,212,213,3500,213
2019-09-17,215,213,215,213,4500,213
2019-09-18,214,213,213,213,1200,213
2019-09-19,215,214,215,214,2000,214
2019-09-20,215,214,214,214,4000,214
2019-09-24,218,216,218,216,4600,216
2019-09-25,216,213,216,213,6300,213
2019-09-26,218,214,214,218,32900,218
2019-09-27,218,213,218,216,8400,216
2019-09-30,219,216,216,218,3100,218
2019-10-01,216,214,216,214,1700,214
2019-10-02,217,215,215,217,700,217
2019-10-03,219,214,219,214,1700,214
2019-10-04,214,211,214,213,14500,213
2019-10-07,213,213,213,213,300,213
2019-10-08,213,208,208,211,21000,211
2019-10-09,211,209,211,209,3200,209
2019-10-10,210,206,209,210,14000,210
2019-10-11,214,209,211,210,6400,210
2019-10-15,213,207,213,210,12900,210
2019-10-16,210,207,208,207,13800,207
2019-10-17,214,210,211,212,4000,212
2019-10-18,215,206,214,209,6900,209
2019-10-21,210,209,209,209,4800,209
2019-10-23,212,209,211,211,1800,211
2019-10-24,211,210,211,210,900,210
2019-10-25,214,210,210,214,28500,214
2019-10-28,217,213,215,217,4200,217
2019-10-29,218,212,218,215,2700,215
2019-10-30,213,213,213,213,100,213
2019-10-31,215,211,214,211,4600,211
2019-11-01,214,210,214,210,4500,210
2019-11-05,217,213,215,213,11300,213
2019-11-06,217,213,217,215,3400,215
2019-11-07,217,213,215,213,2300,213
2019-11-08,216,212,215,213,14300,213
2019-11-11,218,215,215,217,5900,217
2019-11-12,218,216,216,216,2600,216
2019-11-13,217,214,214,217,7000,217
2019-11-14,218,217,218,218,3000,218
2019-11-15,220,216,220,216,2900,216
2019-11-18,220,219,219,220,8400,220
2019-11-19,221,218,220,221,4400,221
2019-11-20,223,216,222,216,5500,216
2019-11-21,245,214,222,220,263100,220
2019-11-22,229,218,222,221,18600,221
2019-11-25,250,224,224,236,943700,236
2019-11-26,241,230,234,236,85200,236
2019-11-27,240,232,235,233,43600,233
2019-11-28,236,226,228,232,44000,232
2019-11-29,237,231,237,236,17000,236
2019-12-02,237,232,237,232,6800,232
2019-12-03,233,227,233,229,13300,229
2019-12-04,234,222,234,223,26600,223
2019-12-05,226,223,225,225,8100,225
2019-12-06,226,224,224,225,1800,225
2019-12-09,234,225,225,230,6900,230
2019-12-10,230,225,227,225,8400,225
2019-12-11,231,225,225,230,9300,230
2019-12-12,230,227,228,227,6000,227
2019-12-13,228,226,228,228,2800,228
2019-12-16,233,226,233,226,9500,226
2019-12-17,227,221,227,221,9700,221
2019-12-18,223,218,223,218,5400,218
2019-12-19,223,217,217,222,13300,222
2019-12-20,228,220,220,224,11200,224
2019-12-23,221,218,219,219,17100,219
2019-12-24,223,217,219,223,11900,223
2019-12-25,225,217,217,222,16700,222
2019-12-26,227,222,224,227,31600,227
2019-12-27,228,220,228,222,18900,222
2019-12-30,222,218,222,219,4400,219
2020-01-06,219,216,219,216,7600,216
2020-01-07,220,216,219,216,4100,216
2020-01-08,217,211,217,211,9900,211
2020-01-09,231,212,212,224,27900,224
2020-01-10,224,219,224,221,4900,221
2020-01-14,226,221,221,225,3300,225
2020-01-15,227,223,226,227,3900,227
2020-01-16,227,221,227,222,6400,222
2020-01-17,225,222,222,225,1900,225
2020-01-20,227,223,223,226,1700,226
2020-01-21,225,223,225,225,1200,225
2020-01-22,223,222,223,222,1900,222
2020-01-23,221,218,221,219,3300,219
2020-01-24,221,218,221,219,3300,219
2020-01-27,239,214,222,219,52500,219
2020-01-28,220,215,220,220,8000,220
2020-01-29,222,212,222,212,22500,212
2020-01-30,214,212,213,213,4200,213
2020-01-31,218,214,214,217,7600,217
2020-02-03,214,212,212,214,500,214
2020-02-04,214,212,212,214,500,214
2020-02-05,217,213,214,213,3000,213
2020-02-06,216,214,215,215,2300,215
2020-02-07,215,212,215,213,8200,213
2020-02-10,216,212,214,216,4800,216
2020-02-12,222,215,216,222,12400,222
2020-02-13,220,212,219,216,7500,216
2020-02-14,216,211,216,215,9000,215
2020-02-17,213,210,212,213,6500,213
2020-02-18,212,209,212,209,3800,209
2020-02-19,213,209,209,213,2800,213
2020-02-20,216,209,212,209,9300,209
2020-02-21,215,209,209,215,3400,215
2020-02-25,210,200,200,208,21300,208
2020-02-26,205,198,205,200,10700,200
2020-02-27,205,182,199,188,36900,188
2020-02-28,181,165,173,181,37300,181
2020-03-02,189,176,176,189,36500,189
2020-03-03,204,173,204,174,65600,174
2020-03-04,187,170,170,187,21200,187
2020-03-05,200,182,190,190,31400,190
2020-03-06,185,176,185,176,17400,176
2020-03-09,176,165,170,174,35600,174
2020-03-10,184,165,165,184,38300,184
2020-03-11,187,173,185,175,14000,175
2020-03-12,180,164,168,168,26800,168
2020-03-13,160,137,153,151,43600,151
2020-03-16,161,146,160,148,29800,148
2020-03-17,148,137,138,146,17900,146
2020-03-18,158,152,155,152,6400,152
2020-03-19,155,145,148,155,20500,155
2020-03-23,165,150,150,165,18900,165
2020-03-24,174,166,173,168,8700,168
2020-03-25,177,170,173,174,13900,174
2020-03-26,174,150,174,150,16400,150
2020-03-27,160,149,160,149,17500,149
2020-03-30,148,141,147,146,17500,146
2020-03-31,151,143,146,147,11400,147
2020-04-01,149,142,149,143,10500,143
2020-04-02,145,128,142,129,68500,129
2020-04-03,134,110,127,115,99400,115
2020-04-06,122,115,121,120,85200,120
2020-04-07,130,120,123,125,64500,125
2020-04-08,129,117,124,127,35200,127
2020-04-09,131,126,127,130,36600,130
2020-04-10,139,128,130,137,44400,137
2020-04-13,139,131,137,135,31300,135
2020-04-14,140,130,135,137,27400,137
2020-04-15,138,132,138,132,24600,132
2020-04-16,134,130,132,134,15600,134
2020-04-17,142,137,137,142,23500,142
2020-04-20,157,142,142,151,81700,151
2020-04-21,159,149,151,151,48600,151
2020-04-22,150,142,149,142,34200,142
2020-04-23,147,144,144,144,8700,144
2020-04-24,147,139,144,140,23800,140
2020-04-27,143,138,140,140,26600,140
2020-04-28,141,135,139,140,23400,140
2020-04-30,148,142,142,143,40200,143
2020-05-01,143,136,140,138,42500,138
2020-05-07,140,135,135,139,19400,139
2020-05-08,144,139,139,142,18600,142
2020-05-11,151,144,145,149,41300,149
2020-05-12,152,145,152,151,31500,151
2020-05-13,156,148,149,153,27500,153
2020-05-14,168,154,154,156,85100,156
2020-05-15,160,154,156,157,21800,157
2020-05-18,157,152,157,152,24500,152
2020-05-19,164,152,152,158,53200,158
2020-05-20,164,159,159,163,30900,163
2020-05-21,166,161,165,162,15700,162
2020-05-22,164,162,162,163,17600,163
2020-05-25,175,163,163,172,61000,172
2020-05-26,217,174,176,192,1049100,192
2020-05-27,206,185,190,203,279100,203
2020-05-28,199,191,199,191,93000,191
2020-05-29,189,184,189,187,42400,187
2020-06-01,185,170,185,182,109500,182
2020-06-02,188,178,183,178,49600,178
2020-06-03,184,176,179,179,25200,179
2020-06-04,188,175,180,182,80300,182
2020-06-05,180,175,179,179,35100,179
2020-06-08,188,182,182,184,36500,184
2020-06-09,195,183,184,188,50700,188
2020-06-10,189,185,188,189,5100,189
2020-06-11,200,176,189,181,67500,181
2020-06-12,184,167,173,180,51900,180
2020-06-15,184,172,179,174,25500,174
2020-06-16,181,174,174,181,36700,181
2020-06-17,182,178,182,180,4200,180
2020-06-18,183,179,180,183,11400,183
2020-06-19,186,182,182,184,14900,184
2020-06-22,187,183,187,183,8200,183
2020-06-23,184,175,183,182,30000,182
2020-06-24,185,181,183,184,24700,184
2020-06-25,184,180,181,181,34100,181
2020-06-26,181,179,180,181,19500,181
2020-06-29,180,167,180,168,39900,168
2020-06-30,174,167,167,173,18500,173
2020-07-01,172,156,171,156,40200,156
2020-07-02,155,148,152,148,49100,148
2020-07-03,150,144,145,147,46500,147
2020-07-06,154,145,145,149,21000,149
2020-07-07,167,150,150,154,48100,154
2020-07-08,168,154,156,165,47500,165
2020-07-09,166,155,163,158,79600,158
2020-07-10,158,152,158,152,22200,152
2020-07-13,163,151,151,162,45800,162
2020-07-14,163,157,160,160,26500,160
2020-07-15,161,158,158,161,14900,161
2020-07-16,161,153,160,154,22300,154
2020-07-17,157,152,153,156,27100,156
2020-07-20,157,156,156,157,10500,157
2020-07-21,158,153,157,157,39700,157
2020-07-22,158,157,157,157,3500,157
2020-07-27,160,152,157,160,34400,160
2020-07-28,161,153,161,153,9800,153
2020-07-29,154,146,154,147,40700,147
2020-07-30,148,131,147,133,192500,133
2020-07-31,136,119,130,131,234600,131
2020-08-03,137,128,131,131,80600,131
2020-08-04,149,132,132,138,166600,138
2020-08-05,144,136,138,144,62600,144
2020-08-06,177,146,146,154,1526500,154
2020-08-07,160,148,149,159,308200,159
2020-08-11,167,150,158,157,125000,157
2020-08-12,159,150,159,150,21100,150
2020-08-13,156,148,153,149,74800,149
2020-08-14,161,145,149,148,159800,148
2020-08-17,152,148,148,148,28500,148
2020-08-18,153,146,148,151,54000,151
2020-08-19,154,149,149,154,18800,154
2020-08-20,155,152,154,154,11300,154
2020-08-21,159,154,155,156,22200,156
2020-08-24,158,154,158,154,11100,154
2020-08-25,186,153,153,173,3622800,173
2020-08-26,223,173,173,223,13784400,223
2020-08-27,303,235,271,240,9568600,240
2020-08-28,252,206,248,220,3729800,220
2020-08-31,259,218,228,221,3875800,221
2020-09-01,227,211,220,218,1006300,218
2020-09-02,242,219,219,228,1228200,228
2020-09-03,225,208,224,212,548100,212
2020-09-04,232,205,210,215,777700,215
2020-09-07,219,206,212,216,253200,216
2020-09-08,224,211,211,222,307200,222
2020-09-09,224,214,216,223,121500,223
2020-09-10,245,207,219,208,908700,208
2020-09-11,237,209,217,223,558500,223
2020-09-14,272,221,226,261,1144900,261
2020-09-15,280,233,261,240,1095600,240
2020-09-16,238,222,237,225,494900,225
2020-09-17,236,216,225,219,349600,219
2020-09-18,241,219,225,235,643400,235
2020-09-23,237,226,229,228,183900,228
2020-09-24,231,213,231,213,217000,213
2020-09-25,222,205,210,207,201600,207
2020-09-28,208,199,204,202,102000,202
2020-09-29,210,204,209,208,136800,208
2020-09-30,214,200,214,203,149300,203
2020-10-02,210,188,210,196,289800,196
2020-10-05,201,195,199,195,49000,195
2020-10-06,201,197,199,198,58800,198
2020-10-07,199,194,196,197,43100,197
2020-10-08,198,193,196,196,40100,196
2020-10-09,196,191,194,191,48700,191
2020-10-12,191,187,190,190,59500,190
2020-10-13,196,185,187,190,106100,190
2020-10-14,194,189,192,190,56900,190
2020-10-15,191,187,190,189,80800,189
2020-10-16,192,187,189,187,43000,187
2020-10-19,230,190,190,201,2559800,201
2020-10-20,203,188,199,194,496700,194
2020-10-21,199,189,195,194,203400,194
2020-10-22,195,182,194,187,149600,187
2020-10-23,197,183,187,192,155700,192
2020-10-26,195,185,195,186,94800,186
2020-10-27,189,181,184,182,89200,182
2020-10-28,181,174,179,176,122800,176
2020-10-29,182,174,174,178,50200,178
2020-10-30,179,160,178,167,252300,167
2020-11-02,174,166,166,172,71900,172
2020-11-04,181,170,172,177,90900,177
2020-11-05,178,173,178,176,27900,176
2020-11-06,180,173,176,177,79400,177
2020-11-09,176,171,176,171,24700,171
2020-11-10,183,172,183,173,115500,173
2020-11-11,183,175,175,181,80900,181
2020-11-12,183,176,183,179,44500,179
2020-11-13,181,171,181,171,116200,171
2020-11-16,181,172,172,179,58700,179
2020-11-17,181,174,179,176,31400,176
2020-11-18,177,172,175,172,32200,172
2020-11-19,172,167,171,169,61900,169
2020-11-20,183,170,171,175,107700,175
2020-11-24,183,178,180,180,32300,180
2020-11-25,184,177,183,178,41000,178
2020-11-26,179,175,179,177,25800,177
2020-11-27,182,176,177,182,35700,182
2020-11-30,183,178,183,179,17200,179
2020-12-01,182,179,180,179,14300,179
2020-12-02,180,178,179,180,13000,180
2020-12-03,181,178,178,180,10400,180
2020-12-04,182,178,179,181,14400,181
