Date,High,Low,Open,Close,Volume,Adj Close
2019-01-04,2523,2464,2499,2523,2300,2523
2019-01-07,2560,2531,2543,2531,1800,2531
2019-01-08,2564,2530,2532,2560,1800,2560
2019-01-09,2600,2563,2568,2578,1400,2578
2019-01-10,2604,2581,2600,2582,1000,2582
2019-01-11,2610,2592,2605,2608,1100,2608
2019-01-15,2608,2608,2608,2608,0,2608
2019-01-16,2655,2628,2628,2651,1400,2651
2019-01-17,2670,2658,2658,2661,1000,2661
2019-01-18,2677,2671,2672,2671,1300,2671
2019-01-21,2691,2674,2674,2679,1200,2679
2019-01-22,2690,2680,2689,2689,800,2689
2019-01-23,2693,2690,2690,2693,700,2693
2019-01-24,2694,2672,2681,2672,1300,2672
2019-01-25,2698,2671,2671,2698,1600,2698
2019-01-28,2748,2700,2700,2748,2500,2748
2019-01-29,2746,2677,2677,2745,1400,2745
2019-01-30,2745,2690,2745,2690,1600,2690
2019-01-31,2714,2687,2690,2714,1600,2714
2019-02-01,2707,2683,2694,2683,1700,2683
2019-02-04,2695,2680,2694,2693,1500,2693
2019-02-05,2702,2688,2688,2700,600,2700
2019-02-06,2702,2689,2702,2701,800,2701
2019-02-07,2701,2701,2701,2701,0,2701
2019-02-08,2699,2682,2699,2695,1500,2695
2019-02-12,2701,2690,2695,2690,800,2690
2019-02-13,2699,2686,2689,2698,1300,2698
2019-02-14,2697,2685,2697,2687,1400,2687
2019-02-15,2697,2685,2687,2697,1200,2697
2019-02-18,2706,2695,2700,2706,2100,2706
2019-02-19,2706,2706,2706,2706,0,2706
2019-02-20,2713,2702,2713,2702,1500,2702
2019-02-21,2702,2702,2702,2702,0,2702
2019-02-22,2705,2697,2702,2705,3400,2705
2019-02-25,2739,2708,2711,2713,9300,2713
2019-02-26,2620,2573,2582,2600,10300,2600
2019-02-27,2599,2583,2599,2594,1900,2594
2019-02-28,2596,2582,2590,2582,1700,2582
2019-03-01,2585,2572,2582,2572,1600,2572
2019-03-04,2591,2573,2591,2574,1100,2574
2019-03-05,2585,2574,2574,2585,400,2585
2019-03-06,2585,2585,2585,2585,0,2585
2019-03-07,2583,2571,2574,2571,1200,2571
2019-03-08,2571,2548,2571,2548,1000,2548
2019-03-11,2541,2509,2541,2519,1100,2519
2019-03-12,2585,2553,2585,2553,1100,2553
2019-03-13,2572,2550,2550,2557,300,2557
2019-03-14,2552,2551,2552,2551,400,2551
2019-03-15,2552,2550,2552,2550,600,2550
2019-03-18,2548,2516,2548,2520,1200,2520
2019-03-19,2525,2516,2525,2517,400,2517
2019-03-20,2515,2509,2509,2515,900,2515
2019-03-22,2515,2500,2515,2500,1700,2500
